id,name,avg_rating,num_reviews
P095,Phone Charger HD,4.1,60
P096,Car Phone Mount HD,4.4,13
P097,USB Fan ZN79,4.3,80
P098,Drone Battery A098,3.8,561
P099,VR Headset Strap A099,4.0,48
P100,Action Camera V0,4.5,20
P101,Action Camera Max,4.4,1045
P102,Charging Dock X,2.6,21
P103,Cable Tester Mini,4.1,4
P104,Laptop Stand Max,3.9,64
P105,Webcam MK135,4.4,544
P106,Car Phone Mount V6,4.6,2120
P107,Ethernet Adapter TP149,5.0,1
P108,HDMI Cable V8,3.7,3
P109,Mechanical Keyboard Ultra,4.4,1839
P110,Headphones Nano,4.7,2
P111,Wall Mount MK177,3.4,22
P112,Headphones TP184,4.5,4
P113,Tripod MK191,4.3,2991
P114,Flashlight Lite,4.5,77
P115,Flashlight V15,4.6,174
P116,Wireless Earbuds RX12,4.6,505
P117,Charging Dock Pro,3.7,200
P118,Laptop Stand Ultra,4.7,2008
P119,SD Card Reader Max,3.5,183
P120,Audio Splitter A120,3.5,15
P121,Power Bank V21,3.7,183
P122,Stylus Pen V22,5.0,1
P123,Action Camera Nano,4.6,563
P124,Wireless Mouse V24,3.9,92
P125,Cable Tester V25,3.6,64
P126,USB-C Cable HD,3.5,2
P127,HDMI Cable Plus,4.0,1
P128,Audio Splitter V28,4.9,6
P129,Tablet Stand Go,4.2,106
P130,Smart Plug Plus,3.0,1
P131,Portable SSD Pro,5.0,1
P132,Drone Battery A132,3.2,41
P133,Tablet Stand TP131,3.3,11
P134,Lens Cleaning Kit Go,3.6,6
P135,Bluetooth Speaker HD,4.3,22
P136,Smart Bulb Mini,4.6,28
P137,Microphone TP159,4.4,198
P138,Laptop Stand TP166,3.8,225
P139,SD Card Reader X,4.4,846
P140,Phone Charger A140,3.6,11
P141,Audio Splitter X,3.5,14
P142,Microphone Plus,4.2,110
P143,Smart Plug RX01,4.5,13
P144,Phone Charger RX08,3.9,911
P145,Gaming Controller TP15,4.4,4
P146,Stylus Pen ZN22,2.9,16
P147,Tablet Stand V47,4.6,483
P148,Stylus Pen ZN36,5.0,1
P149,HDMI Cable V49,4.8,23036
P150,Smart Bulb Max,4.4,594
P151,Screen Cleaner A151,3.4,5
P152,Tripod TP64,4.4,119
P153,Anti-Glare Screen MK71,4.5,714
P154,VR Headset Strap Ultra,2.6,4
P155,Portable SSD V55,4.5,2
P156,Mechanical Keyboard A156,4.5,579
P157,Portable SSD Ultra,4.6,827
P158,Stylus Pen Lite,4.6,8402
P159,Surge Protector TP113,4.2,1430
P160,Keyboard Wrist Rest MK120,5.0,2
P161,SD Card Reader Nano,4.3,2016
P162,Cable Tester HD,3.3,9
P163,USB Hub X,4.5,18
P164,Ethernet Adapter ZN148,4.4,82
P165,Charging Dock Mini,4.4,6
P166,Laptop Sleeve V66,4.5,1419
P167,Webcam V67,4.5,1351
P168,Portable SSD Lite,4.0,2440
P169,Smart Plug Ultra,3.5,9
P170,Ring Light A170,3.7,16
P171,Phone Charger A171,5.0,3
P172,Portable SSD MK04,2.9,2
P173,Webcam X,5.0,1
P174,Flashlight A174,3.0,3
P175,Action Camera A175,4.2,340
P176,Stylus Pen V76,2.6,11
P177,Headphones Ultra,4.2,317
P178,Ring Light ZN46,4.5,6
P179,Stylus Pen V79,3.9,32
P180,Portable SSD A180,4.3,30
P181,Keyboard Wrist Rest A181,4.5,456
P182,VR Headset Strap TP74,4.5,1200
P183,Mechanical Keyboard X,4.5,618
P184,Cable Organizer A184,3.2,3
P185,Drone Battery A185,4.0,7
P186,Stylus Pen V86,4.7,562
P187,HDMI Cable A187,4.2,108
P188,Surge Protector Pro,3.0,2
P189,Tablet Stand MK123,4.8,7
P190,SD Card Reader Lite,4.4,726
P191,Bluetooth Adapter V91,4.4,52
P192,Stylus Pen A192,4.3,252
P193,Monitor Arm RX151,3.5,110
P194,Wireless Charger Lite,5.0,6
P195,Microphone Plus,4.3,2
P196,Action Camera Ultra,3.9,1799
P197,Keyboard Wrist Rest MK179,4.5,2286
P198,Microphone Pro,4.0,1
P199,Tripod Go,3.7,110
P200,Smart Plug V0,4.5,854
P201,Phone Charger Ultra,3.7,15
P202,USB-C Cable V2,3.4,13
P203,Anti-Glare Screen Mini,3.2,8
P204,Ethernet Adapter RX28,4.7,10
P205,Mechanical Keyboard Max,4.3,36
P206,Touchscreen Gloves A206,4.3,103
P207,Audio Splitter V7,3.9,26
P208,Lens Cleaning Kit A208,4.3,1262
P209,Mini Projector Plus,3.3,7
P210,USB-C Cable V10,5.0,19
P211,Laptop Sleeve TP77,4.6,328
P212,Bluetooth Adapter Plus,4.2,70
P213,Screen Cleaner A213,4.5,4
P214,VR Headset Strap Max,4.4,720
P215,Drone Battery V15,4.7,2097
P216,SD Card Reader V16,4.3,159
P217,Wall Mount ZN119,4.5,689
P218,Drone Battery A218,4.7,106
P219,Touchscreen Gloves Mini,4.5,931
P220,Tablet Stand HD,4.6,445
P221,Mini Projector Ultra,3.7,4
P222,Ethernet Adapter Max,3.2,2
P223,Tripod Pro,4.5,1278
P224,Phone Charger X,4.4,96
P225,Bluetooth Speaker RX175,4.7,6912
P226,Stylus Pen Plus,3.4,26
P227,Audio Splitter HD,4.0,4
P228,USB-C Cable V28,4.7,370
P229,Wall Mount TP03,4.7,3468
P230,Webcam Lite,4.4,407
P231,Microphone X,5.0,1
P232,Gaming Controller A232,4.5,5300
P233,Monitor Arm A233,3.5,2
P234,Tripod V34,4.7,532
P235,Ring Light Mini,3.9,11
P236,Stylus Pen V36,4.6,17948
P237,Laptop Stand ZN59,4.6,760
P238,Phone Charger A238,4.4,147
P239,Mini Projector RX73,4.9,25
P240,Headphones A240,4.2,1238
P241,Microphone Nano,4.7,3257
P242,Smart Thermostat ZN94,5.0,4
P243,Webcam Go,2.0,1
P244,Mini Projector V44,4.4,6964
P245,Smart Thermostat Max,4.7,629
P246,VR Headset Strap MK122,4.4,1647
P247,USB Fan Nano,4.2,1492
P248,Lens Cleaning Kit A248,3.7,3
P249,Drone Battery MK143,4.4,4735
P250,USB Hub Max,4.8,21
P251,Mini Projector Nano,3.7,22
P252,Screen Cleaner Nano,3.9,69
P253,Cable Organizer RX171,4.1,111
P254,Touchscreen Gloves A254,4.5,7
P255,Doorbell Camera HD,4.5,64
P256,Wireless Charger ZN192,4.1,7
P257,USB-C Cable HD,4.7,8472
P258,Monitor Arm V58,4.4,36
P259,Tripod MK13,4.4,523
P260,Touchscreen Gloves V60,4.2,31
P261,Bluetooth Adapter RX27,4.3,14
P262,Dash Cam ZN34,3.2,35
P263,HDMI Cable V63,4.6,3897
P264,Smart Bulb X,4.2,83
P265,Tablet Stand V65,3.8,495
P266,Dash Cam RX62,1.0,1
P267,Car Phone Mount Ultra,4.3,23
P268,Wireless Mouse A268,3.6,30
P269,Mechanical Keyboard Go,4.6,356
P270,Tripod X,2.5,14
P271,Tablet Stand X,4.2,327
P272,Gaming Controller V72,4.2,29
P273,Gaming Controller Go,3.7,10
P274,Portable SSD A274,5.0,1
P275,Doorbell Camera Lite,3.6,4
P276,Gaming Controller Pro,4.7,10
P277,Mechanical Keyboard Lite,4.3,4
P278,Wireless Charger V78,4.8,1725
P279,USB-C Cable Nano,5.0,1
P280,Ring Light A280,4.5,1901
P281,Surge Protector V81,3.3,16
P282,Tripod Mini,3.8,18
P283,Dash Cam V83,4.5,1070
P284,Car Phone Mount A284,3.9,195
P285,Keyboard Wrist Rest A285,3.5,2
P286,USB-C Cable V86,4.5,23
P287,USB Fan Nano,1.5,2
P288,Webcam V88,3.7,168
P289,Power Bank TP23,4.5,2
P290,Laptop Sleeve ZN30,4.0,10
P291,Touchscreen Gloves V91,4.1,6
P292,Bluetooth Adapter Mini,4.6,657
P293,Action Camera ZN51,5.0,6
P294,Flashlight V94,4.1,312
P295,VR Headset Strap RX65,4.5,2
P296,Bluetooth Adapter RX72,4.7,6690
P297,Tripod Plus,2.0,2
P298,USB-C Cable Ultra,4.1,645
P299,Tablet Stand Plus,4.6,775
P300,Action Camera TP100,3.4,612
P301,Wireless Charger MK107,3.4,6
P302,Desk Lamp V2,4.2,510
P303,USB Fan X,5.0,1
P304,Smart Bulb ZN128,5.0,1
P305,Audio Splitter A305,5.0,1
P306,Microphone A306,3.6,8
P307,Laptop Sleeve ZN149,4.6,10
P308,Mini Projector Max,1.0,1
P309,Car Phone Mount HD,4.3,568
P310,Cable Tester V10,1.0,1
P311,Ethernet Adapter Lite,4.5,78
P312,Mini Projector Ultra,4.8,629
P313,VR Headset Strap A313,4.6,7
P314,Ring Light ZN198,4.3,752
P315,Cable Organizer HD,5.0,6
P316,Microphone Nano,4.7,4007
P317,Headphones Go,3.6,443
P318,SD Card Reader X,4.1,123
P319,Wireless Earbuds V19,4.4,60
P320,Bluetooth Adapter V20,4.1,5
P321,Tablet Stand A321,3.5,19
P322,VR Headset Strap RX54,4.2,515
P323,USB-C Cable A323,5.0,8
P324,USB-C Cable A324,4.3,1777
P325,Anti-Glare Screen A325,4.2,2
P326,Laptop Sleeve V26,4.1,43
P327,Screen Cleaner TP89,1.0,2
P328,USB Fan A328,4.7,59
P329,Portable SSD Mini,4.5,175
P330,SD Card Reader RX110,3.4,3
P331,Monitor Arm Max,4.6,1155
P332,Screen Cleaner Go,4.0,124
P333,Drone Battery Mini,4.0,112
P334,Smart Plug A334,4.0,22
P335,Wireless Earbuds Ultra,5.0,1
P336,Bluetooth Transmitter V36,4.6,73
P337,Doorbell Camera Max,4.5,189
P338,Flashlight Mini,4.5,3
P339,Smart Bulb Nano,3.5,64
P340,Mini Projector ZN180,3.3,4
P341,Screen Cleaner A341,3.4,23
P342,Webcam HD,4.4,18
P343,Wall Mount V43,4.6,537
P344,Bluetooth Transmitter RX08,4.0,1
P345,Bluetooth Transmitter MK15,4.7,573
P346,Mini Projector HD,4.0,49
P347,Wireless Mouse MK29,4.0,629
P348,Ring Light Nano,4.3,460
P349,Stylus Pen MK43,4.3,47
P350,Doorbell Camera Nano,4.5,1685
P351,Stylus Pen MK57,4.5,421
P352,Action Camera TP64,3.6,43
P353,Smart Bulb V53,3.3,30
P354,Monitor Arm MK78,4.6,73
P355,Phone Charger MK85,4.6,861
P356,Phone Charger A356,4.0,14
P357,Bluetooth Adapter X,3.9,10
P358,Audio Splitter RX106,4.0,1
P359,VR Headset Strap Go,4.2,26
P360,Stylus Pen Nano,4.6,14
P361,Webcam Nano,4.0,1042
P362,Dash Cam A362,3.0,1
P363,Wireless Earbuds V63,4.5,4479
P364,Cable Tester A364,4.1,125
P365,Microphone Lite,3.8,17
P366,Ring Light Go,4.3,42
P367,Tripod Mini,5.0,9
P368,Mechanical Keyboard MK176,5.0,1
P369,Mini Projector Pro,4.5,603
P370,Dash Cam Plus,4.7,7269
P371,Bluetooth Transmitter Lite,3.6,39
P372,Headphones ZN04,4.4,18
P373,Tablet Stand X,3.8,16
P374,Charging Dock V74,4.3,1050
P375,HDMI Cable V75,5.0,1
P376,Car Phone Mount Max,4.3,5211
P377,VR Headset Strap V77,4.6,903
P378,Flashlight V78,4.1,4
P379,Surge Protector V79,4.3,138
P380,Microphone X,4.6,2691
P381,Smart Bulb V81,3.7,9
P382,Car Phone Mount Lite,3.0,2
P383,Desk Lamp V83,5.0,2
P384,Wall Mount A384,4.7,2
P385,HDMI Cable HD,4.0,44
P386,Keyboard Wrist Rest A386,4.0,15
P387,Bluetooth Transmitter V87,4.4,3900
P388,Laptop Sleeve Plus,4.7,6
P389,Anti-Glare Screen V89,4.2,1216
P390,Microphone Plus,4.8,7
P391,Car Phone Mount V91,4.0,830
P392,Smart Bulb Max,5.0,1
P393,Portable SSD TP151,4.3,26
P394,Bluetooth Adapter V94,3.5,7
P395,Tablet Stand Plus,2.5,6
P396,Anti-Glare Screen Nano,4.6,194
P397,Doorbell Camera Plus,4.7,29
P398,SD Card Reader Plus,4.0,56
P399,Gaming Controller Ultra,4.2,1516
P400,Wireless Charger TP00,4.7,511
P401,Ethernet Adapter Nano,3.0,9
P402,Gaming Controller RX14,4.3,113
P403,VR Headset Strap A403,4.4,8
P404,Charging Dock V4,4.4,1204
P405,Webcam X,3.0,7
P406,Wireless Earbuds V6,4.6,83
P407,HDMI Cable A407,4.3,1256
P408,Wireless Earbuds Nano,4.8,984
P409,Wireless Charger V9,4.4,2
P410,Bluetooth Speaker A410,4.5,68
P411,Mechanical Keyboard A411,3.3,285
P412,Ring Light V12,4.6,95
P413,Dash Cam Go,3.5,60
P414,Smart Bulb A414,4.5,621
P415,Laptop Sleeve MK105,4.4,196
P416,Bluetooth Transmitter Go,4.4,8096
P417,Surge Protector Pro,4.0,726
P418,Flashlight Go,4.4,18
P419,VR Headset Strap A419,4.5,161
P420,USB Fan HD,4.7,334
P421,Bluetooth Adapter Mini,4.9,28
P422,Cable Tester ZN154,4.3,178
P423,Charging Dock Max,4.4,1017
P424,Bluetooth Speaker RX168,4.5,631
P425,Dash Cam HD,5.0,2
P426,Microphone TP182,4.4,1380
P427,SD Card Reader A427,3.0,2
P428,Flashlight V28,3.8,8
P429,HDMI Cable A429,4.6,232
P430,SD Card Reader V30,1.0,1
P431,Bluetooth Speaker V31,3.5,44
P432,Gaming Controller Go,4.5,71
P433,Drone Battery RX31,3.8,2263
P434,Surge Protector V34,3.9,711
P435,Microphone X,2.7,4
P436,Surge Protector V36,5.0,6
P437,Wall Mount Lite,4.0,28
P438,Stylus Pen A438,4.6,906
P439,Webcam Ultra,4.5,3
P440,Car Phone Mount Mini,4.1,853
P441,Ethernet Adapter V41,4.5,3086
P442,Surge Protector Go,4.2,1619
P443,Audio Splitter MK101,1.0,1
P444,Microphone A444,4.5,314
P445,Webcam Ultra,4.5,16264
P446,USB Hub Lite,4.6,4342
P447,Action Camera A447,4.4,5
P448,Wall Mount ZN136,4.2,14
P449,Lens Cleaning Kit A449,4.1,41
P450,Smart Bulb Pro,4.4,12
P451,Dash Cam V51,3.7,102
P452,SD Card Reader HD,4.6,893
P453,Webcam Plus,3.1,2
P454,Bluetooth Adapter Go,4.3,119
P455,Tablet Stand ZN185,4.2,469
P456,Gaming Controller Lite,4.5,1433
P457,Dash Cam HD,3.7,30
P458,Ring Light RX06,4.9,33
P459,Bluetooth Speaker A459,1.0,1
P460,Stylus Pen A460,4.1,646
P461,Action Camera Lite,4.8,3373
P462,Microphone ZN34,4.8,151
P463,Drone Battery HD,3.8,60
P464,Bluetooth Adapter TP48,3.2,5
P465,Action Camera V65,1.0,1
P466,Flashlight Plus,5.0,1
P467,Charging Dock HD,4.5,2
P468,USB-C Cable V68,4.8,8
P469,Drone Battery Lite,4.3,705
P470,Headphones V70,4.1,5
P471,Smart Bulb Pro,4.2,13
P472,Bluetooth Adapter Mini,4.3,104
P473,Wireless Mouse Max,3.4,5
P474,Smart Bulb V74,4.7,569
P475,Bluetooth Adapter MK125,3.9,739
P476,Stylus Pen Pro,5.0,2
P477,Mini Projector Max,3.1,11
P478,VR Headset Strap A478,4.2,157
P479,Anti-Glare Screen RX153,4.5,179
P480,Power Bank V80,4.3,101
P481,Headphones A481,4.2,28
P482,Lens Cleaning Kit HD,4.6,5
P483,Ring Light V83,5.0,4
P484,Wireless Earbuds Mini,4.5,426
P485,Smart Thermostat MK195,4.5,3
P486,Smart Plug Ultra,4.4,859
P487,Wireless Mouse V87,4.3,975
P488,USB Fan ZN16,4.5,3372
P489,Dash Cam Ultra,4.4,880
P490,Tripod RX30,4.8,49
P491,Laptop Sleeve V91,4.4,49
P492,Wireless Mouse X,4.3,5
P493,Wall Mount V93,4.3,476
P494,Keyboard Wrist Rest V94,4.6,14376
P495,Smart Plug TP65,4.1,47
P496,VR Headset Strap V96,4.6,45
P497,Screen Cleaner Ultra,3.9,16
P498,Tripod A498,4.4,443
P499,Gaming Controller Go,3.7,125
