"STATION","DATE","PRCP","TAVG","TMAX","TMIN","WSPD_MAX","WSPD_MEAN"
"ASN00086282","2021-07-07","0.0","6.2","11.7","4.6","13.0","10.3"
"ASN00086282","2021-07-08","0.0","5.2","11.4","0.4","13.2","9.2"
"ASN00086282","2021-07-09","0.0","6.9","12.4","-0.1","9.0","4.9"
"ASN00086282","2021-07-10","0.2","8.3","13.7","2.0","10.5","6.8"
"ASN00086282","2021-07-11","0.0","10.7","14.4","1.8","29.6","16.5"
"ASN00086282","2021-07-12","0.0","10.6","14.5","8.3","35.0","26.7"
"ASN00086282","2021-07-13","0.0","10.6","13.4","5.7","26.0","17.4"
"ASN00086282","2021-07-14","2.0","10.8","13.3","8.0","29.3","25.0"
"ASN00086282","2021-07-15","1.2","12.1","","8.0","31.4","23.8"
"ASN00086282","2021-07-16","0.8","10.1","14.2","9.3","28.1","21.3"
"ASN00086282","2021-07-17","0.0","10.1","12.7","5.0","28.7","21.0"
"ASN00086282","2021-07-18","0.8","10.1","13.0","7.0","20.5","14.5"
"ASN00086282","2021-07-19","0.0","10.8","13.0","6.6","20.3","14.8"
"ASN00086282","2021-07-20","0.2","6.6","11.2","8.9","35.2","22.5"
"ASN00086282","2021-07-21","11.6","8.2","12.9","3.6","21.6","14.0"
"ASN00086282","2021-07-22","0.4","7.4","9.7","3.0","30.4","19.2"
"ASN00086282","2021-07-23","0.0","8.0","10.7","3.0","22.3","15.5"
"ASN00086282","2021-07-24","0.2","8.4","13.5","4.8","28.8","20.9"
"ASN00086282","2021-07-25","0.8","9.5","12.0","4.5","29.1","23.6"
"ASN00086282","2021-07-26","0.0","12.0","15.8","6.5","28.5","22.2"
"ASN00086282","2021-07-27","0.0","13.8","16.9","7.7","43.9","31.0"
"ASN00086282","2021-07-28","0.0","8.9","16.4","9.5","42.2","30.1"
"ASN00086282","2021-07-29","0.8","9.3","15.0","4.1","19.2","15.0"
"ASN00086282","2021-07-30","0.0","11.1","14.1","4.8","48.2","35.3"
"ASN00086282","2021-07-31","0.0","11.0","16.9","7.3","45.5","30.8"
"ASN00086282","2021-08-01","16.2","9.6","14.8","6.0","17.2","12.5"
"ASN00086282","2021-08-02","0.0","10.5","14.7","5.1","30.1","21.9"
"ASN00086282","2021-08-03","0.4","8.7","13.6","6.0","25.5","18.2"
"ASN00086282","2021-08-04","1.8","10.6","14.1","5.7","28.8","21.5"
"ASN00086282","2021-08-05","0.8","11.8","15.5","6.3","24.3","16.7"
"ASN00086282","2021-08-06","0.2","10.7","13.9","8.5","20.2","12.1"
"ASN00086282","2021-08-07","0.2","9.2","14.8","7.9","19.5","11.5"
"ASN00086282","2021-08-08","1.2","10.7","15.2","3.8","15.9","8.1"
"ASN00086282","2021-08-09","0.0","9.9","15.2","6.3","23.1","15.6"
"ASN00086282","2021-08-10","0.0","13.6","17.8","4.9","40.7","26.0"
"ASN00086282","2021-08-11","0.2","10.8","17.9","10.8","43.0","27.7"
"ASN00086282","2021-08-12","2.2","10.8","16.1","6.2","19.6","14.4"
"ASN00086282","2021-08-13","0.0","10.9","17.1","5.8","26.5","15.0"
"ASN00086282","2021-08-14","0.0","11.6","17.4","5.1","18.6","13.4"
"ASN00086282","2021-08-15","0.0","13.4","18.1","7.3","30.1","21.3"
"ASN00086282","2021-08-16","0.2","10.4","14.4","9.2","32.1","22.5"
"ASN00086282","2021-08-17","0.6","10.3","13.9","8.0","20.9","15.2"
"ASN00086282","2021-08-18","0.4","10.8","15.3","4.2","12.3","8.1"
"ASN00086282","2021-08-19","0.0","12.0","16.9","5.7","23.9","15.5"
"ASN00086282","2021-08-20","0.2","12.2","16.9","8.3","33.9","27.2"
"ASN00086282","2021-08-21","0.0","13.4","19.8","8.6","25.1","18.4"
"ASN00086282","2021-08-22","0.0","15.8","21.4","9.0","36.0","23.7"
"ASN00086282","2021-08-23","0.4","8.2","14.4","9.6","32.7","19.3"
"ASN00086282","2021-08-24","6.6","8.1","12.0","4.7","27.8","19.1"
"ASN00086282","2021-08-25","1.6","7.9","12.6","5.4","25.9","17.3"
"ASN00086282","2021-08-26","0.4","6.8","12.3","3.3","16.2","8.7"
"ASN00086282","2021-08-27","0.0","8.6","15.0","1.7","7.5","4.9"
"ASN00086282","2021-08-28","0.0","12.8","17.1","2.4","27.5","17.4"
"ASN00086282","2021-08-29","0.6","9.9","15.4","8.7","23.5","14.7"
"ASN00086282","2021-08-30","1.0","12.3","17.0","6.1","33.5","20.6"
"ASN00086282","2021-08-31","0.0","15.0","20.0","9.3","37.3","31.3"
"ASN00086282","2021-09-01","0.0","17.6","22.3","10.5","30.0","20.8"
"ASN00086282","2021-09-02","0.0","20.2","24.5","13.3","46.2","37.7"
"ASN00086282","2021-09-03","0.0","12.7","23.3","17.1","43.4","24.1"
"ASN00086282","2021-09-04","31.2","9.7","13.3","8.5","24.9","17.4"
"ASN00086282","2021-09-05","13.6","10.2","13.9","5.6","26.1","20.9"
"ASN00086282","2021-09-06","0.2","11.1","15.5","6.5","27.0","14.4"
"ASN00086282","2021-09-07","0.0","11.1","15.6","6.9","25.5","15.4"
"ASN00086282","2021-09-08","0.0","14.1","20.4","5.6","20.6","12.3"
"ASN00086282","2021-09-09","0.0","15.8","24.3","9.8","32.4","24.3"
"ASN00086282","2021-09-10","0.0","14.8","19.7","7.0","36.0","11.7"
"ASN00086282","2021-09-11","0.0","15.1","23.3","11.8","38.9","28.0"
"ASN00086282","2021-09-12","0.0","8.9","15.4","6.3","21.6","13.3"
"ASN00086282","2021-09-13","4.8","8.2","13.9","4.8","23.7","13.4"
"ASN00086282","2021-09-14","1.2","9.2","14.7","3.9","14.1","8.7"
"ASN00086282","2021-09-15","0.2","8.8","14.8","2.7","17.5","9.3"
"ASN00086282","2021-09-16","0.0","11.3","16.9","2.9","16.9","7.4"
"ASN00086282","2021-09-17","0.0","15.2","20.5","5.0","43.2","31.2"
"ASN00086282","2021-09-18","0.4","10.2","16.5","8.6","30.5","17.8"
"ASN00086282","2021-09-19","1.8","13.3","17.7","5.1","33.1","24.2"
"ASN00086282","2021-09-20","0.6","7.1","14.0","8.2","30.7","23.1"
"ASN00086282","2021-09-21","6.4","10.5","13.2","4.8","27.0","20.3"
"ASN00086282","2021-09-22","0.4","12.5","19.1","8.6","17.7","10.7"
"ASN00086282","2021-09-23","0.0","14.8","20.6","8.1","19.1","11.6"
"ASN00086282","2021-09-24","0.0","10.9","18.2","10.1","33.1","22.5"
"ASN00086282","2021-09-25","0.6","7.6","13.5","3.6","18.9","14.9"
"ASN00086282","2021-09-26","0.0","8.4","14.5","1.8","14.0","7.5"
"ASN00086282","2021-09-27","0.0","12.8","18.8","1.9","28.5","16.8"
"ASN00086282","2021-09-28","0.0","15.3","22.6","6.6","18.4","14.1"
"ASN00086282","2021-09-29","0.0","14.4","17.9","10.8","17.1","9.0"
"ASN00086282","2021-09-30","5.2","14.7","18.0","12.3","10.6","6.3"
"ASN00086282","2021-10-01","16.4","15.1","20.8","13.0","23.2","14.3"
"ASN00086282","2021-10-02","29.6","13.8","17.5","12.5","19.3","14.5"
"ASN00086282","2021-10-03","0.8","14.9","21.8","10.4","27.2","12.1"
"ASN00086282","2021-10-04","2.8","12.2","17.3","7.8","29.6","18.6"
"ASN00086282","2021-10-05","2.4","11.2","17.5","9.5","37.2","22.9"
"ASN00086282","2021-10-06","0.0","14.8","21.3","5.2","20.1","14.4"
"ASN00086282","2021-10-07","2.4","10.4","16.6","5.7","23.8","15.7"
"ASN00086282","2021-10-08","0.0","15.7","20.7","5.6","23.4","14.9"
"ASN00086282","2021-10-09","0.0","14.9","24.7","11.4","28.8","20.6"
"ASN00086282","2021-10-10","1.8","9.3","14.9","7.3","19.9","13.4"
"ASN00086282","2021-10-11","0.0","8.8","13.8","4.3","19.9","12.7"
"ASN00086282","2021-10-12","0.4","14.4","20.5","2.6","18.1","9.7"
"ASN00086282","2021-10-13","0.0","12.6","19.7","9.0","29.7","19.7"
"ASN00086282","2021-10-14","14.6","11.7","18.4","5.7","22.0","10.7"
"ASN00086282","2021-10-15","7.8","11.7","16.5","5.7","36.4","18.8"
"ASN00086282","2021-10-16","17.2","11.7","16.1","10.0","34.8","24.9"
"ASN00086282","2021-10-17","0.6","13.3","17.7","9.5","13.0","8.4"
"ASN00086282","2021-10-18","0.0","11.8","17.4","8.4","25.2","13.8"
"ASN00086282","2021-10-19","2.0","11.5","16.5","7.4","21.6","16.1"
"ASN00086282","2021-10-20","0.0","17.0","23.1","6.2","11.1","6.7"
"ASN00086282","2021-10-21","0.0","18.1","24.5","11.1","31.6","20.6"
"ASN00086282","2021-10-22","0.0","16.8","26.3","11.2","23.5","14.2"
"ASN00086282","2021-10-23","19.4","10.7","15.0","11.8","19.1","14.9"
"ASN00086282","2021-10-24","4.0","10.7","15.6","7.7","27.1","20.6"
"ASN00086282","2021-10-25","0.6","9.1","14.5","8.7","23.0","16.8"
"ASN00086282","2021-10-26","0.0","13.4","20.0","2.8","13.0","4.7"
"ASN00086282","2021-10-27","0.0","20.2","26.9","6.5","29.0","19.1"
"ASN00086282","2021-10-28","0.8","18.0","27.3","13.6","36.9","17.7"
"ASN00086282","2021-10-29","2.2","9.4","16.3","10.6","53.1","31.5"
"ASN00086282","2021-10-30","0.4","10.1","15.6","4.1","23.4","14.0"
"ASN00086282","2021-10-31","0.6","13.2","20.8","4.4","12.5","6.6"
"ASN00086282","2021-11-01","0.0","16.1","24.4","6.4","16.3","6.9"
"ASN00086282","2021-11-02","0.0","23.3","28.9","7.4","28.3","17.4"
"ASN00086282","2021-11-03","0.0","15.6","21.2","18.6","40.1","27.5"
"ASN00086282","2021-11-04","28.6","14.5","18.5","11.9","25.2","16.6"
"ASN00086282","2021-11-05","0.0","19.2","24.1","11.4","12.7","6.8"
"ASN00086282","2021-11-06","0.0","17.9","25.3","15.1","36.0","22.6"
"ASN00086282","2021-11-07","2.8","12.8","15.4","11.8","18.4","14.1"
"ASN00086282","2021-11-08","0.0","11.8","16.9","10.5","16.3","10.6"
"ASN00086282","2021-11-09","0.0","14.5","20.3","5.3","17.8","5.7"
"ASN00086282","2021-11-10","10.0","9.9","14.3","10.6","16.6","12.6"
"ASN00086282","2021-11-11","4.2","12.4","16.1","6.1","24.4","17.2"
"ASN00086282","2021-11-12","2.0","11.0","12.9","9.5","26.1","20.2"
"ASN00086282","2021-11-13","32.8","9.6","14.9","9.2","29.3","19.7"
"ASN00086282","2021-11-14","2.4","10.2","15.4","4.7","34.2","24.1"
"ASN00086282","2021-11-15","1.4","9.4","15.5","6.7","30.2","22.2"
"ASN00086282","2021-11-16","0.0","11.4","13.7","5.6","17.7","12.4"
"ASN00086282","2021-11-17","0.0","14.6","19.5","9.8","14.8","4.9"
"ASN00086282","2021-11-18","0.0","17.6","25.6","8.5","49.4","30.5"
"ASN00086282","2021-11-19","0.4","13.4","16.8","11.4","20.3","12.4"
"ASN00086282","2021-11-20","0.0","12.4","17.1","11.0","19.4","13.1"
"ASN00086282","2021-11-21","0.2","13.3","17.7","8.6","21.7","13.2"
"ASN00086282","2021-11-22","0.0","17.2","22.1","8.3","13.3","7.6"
"ASN00086282","2021-11-23","0.0","20.7","25.0","12.7","30.8","19.1"
"ASN00086282","2021-11-24","0.0","18.2","27.4","15.2","25.9","10.9"
"ASN00086282","2021-11-25","0.2","13.2","15.9","13.9","20.9","15.0"
"ASN00086282","2021-11-26","1.0","14.3","19.8","11.0","31.3","23.4"
"ASN00086282","2021-11-27","0.0","14.4","21.1","10.0","28.8","18.7"
"ASN00086282","2021-11-28","0.0","15.6","22.6","7.2","14.4","8.8"
"ASN00086282","2021-11-29","0.0","20.4","28.9","8.5","15.4","7.5"
"ASN00086282","2021-11-30","0.0","24.4","31.1","11.7","24.1","13.1"
"ASN00086282","2021-12-01","0.0","22.7","32.7","16.9","29.2","17.0"
"ASN00086282","2021-12-02","14.6","18.2","32.6","17.0","25.9","16.9"
"ASN00086282","2021-12-03","3.8","14.7","20.5","9.1","20.5","14.3"
"ASN00086282","2021-12-04","0.0","13.4","18.8","8.6","25.2","17.9"
"ASN00086282","2021-12-05","0.0","15.8","21.1","8.4","15.8","10.1"
"ASN00086282","2021-12-06","0.0","19.7","26.8","10.1","35.3","19.7"
"ASN00086282","2021-12-07","0.2","11.9","14.9","13.5","23.3","14.6"
"ASN00086282","2021-12-08","7.2","12.8","16.8","8.7","30.0","18.9"
"ASN00086282","2021-12-09","7.2","13.9","16.7","10.1","28.8","22.8"
"ASN00086282","2021-12-10","0.6","14.8","18.7","12.4","28.1","20.3"
"ASN00086282","2021-12-11","0.0","15.4","22.1","11.9","17.9","12.7"
"ASN00086282","2021-12-12","0.0","21.1","28.3","8.1","17.2","8.6"
"ASN00086282","2021-12-13","0.0","21.8","32.2","12.5","32.0","16.6"
"ASN00086282","2021-12-14","0.0","17.4","23.3","14.7","16.3","9.9"
"ASN00086282","2021-12-15","0.0","13.6","16.6","13.2","19.1","11.4"
"ASN00086282","2021-12-16","0.0","14.7","21.2","8.4","19.1","13.2"
"ASN00086282","2021-12-17","0.0","25.2","30.3","7.0","24.7","12.0"
"ASN00086282","2021-12-18","0.0","19.9","34.9","15.8","40.4","21.7"
"ASN00086282","2021-12-19","0.6","15.3","23.9","13.0","35.7","17.0"
"ASN00086282","2021-12-20","0.6","18.7","28.8","8.0","19.6","13.1"
"ASN00086282","2021-12-21","0.0","18.8","26.9","10.8","21.6","9.6"
"ASN00086282","2021-12-22","0.0","15.8","20.5","14.1","17.7","14.5"
"ASN00086282","2021-12-23","0.0","15.4","21.1","13.3","17.7","10.4"
"ASN00086282","2021-12-24","0.0","20.1","28.1","9.3","17.0","8.3"
"ASN00086282","2021-12-25","0.0","16.8","22.8","14.1","24.0","16.0"
"ASN00086282","2021-12-26","0.0","14.8","19.1","14.1","29.6","22.7"
"ASN00086282","2021-12-27","0.0","16.0","23.3","12.7","29.2","22.9"
"ASN00086282","2021-12-28","0.0","16.8","23.6","8.1","21.7","13.2"
"ASN00086282","2021-12-29","0.0","18.1","26.3","10.7","19.5","9.7"
"ASN00086282","2021-12-30","0.0","25.6","34.6","12.2","17.3","7.3"
"ASN00086282","2021-12-31","0.0","29.2","38.3","17.1","30.4","15.7"
"ASN00086282","2022-01-01","0.0","26.3","38.4","18.2","27.0","14.9"
"ASN00086282","2022-01-02","0.0","20.9","32.6","19.9","21.4","11.9"
"ASN00086282","2022-01-03","0.0","17.3","21.8","15.3","23.1","17.5"
"ASN00086282","2022-01-04","0.0","19.6","22.9","14.5","19.8","16.2"
"ASN00086282","2022-01-05","0.0","22.2","30.1","15.8","20.2","11.1"
"ASN00086282","2022-01-06","0.0","24.0","30.6","15.4","20.9","9.1"
"ASN00086282","2022-01-07","0.0","19.6","27.0","17.6","28.7","14.9"
"ASN00086282","2022-01-08","19.2","16.8","20.8","16.4","19.6","15.5"
"ASN00086282","2022-01-09","0.4","17.6","23.3","14.4","16.9","9.7"
"ASN00086282","2022-01-10","0.0","23.0","31.6","12.4","18.8","9.0"
"ASN00086282","2022-01-11","0.0","21.8","29.3","16.6","24.5","14.7"
"ASN00086282","2022-01-12","0.0","22.9","30.5","14.8","23.2","9.2"
"ASN00086282","2022-01-13","0.0","25.2","35.2","15.3","24.1","12.8"
"ASN00086282","2022-01-14","0.4","24.8","33.4","17.6","34.7","17.1"
"ASN00086282","2022-01-15","0.2","19.5","25.3","17.6","21.3","13.0"
"ASN00086282","2022-01-16","0.0","24.2","31.5","15.7","16.2","7.0"
"ASN00086282","2022-01-17","0.0","19.0","25.0","17.2","24.6","15.4"
"ASN00086282","2022-01-18","0.0","17.6","22.8","16.2","26.7","17.3"
"ASN00086282","2022-01-19","0.0","19.4","27.7","13.7","28.3","16.7"
"ASN00086282","2022-01-20","0.0","22.0","29.8","11.0","17.1","9.0"
"ASN00086282","2022-01-21","0.0","23.6","31.7","15.1","26.4","14.9"
"ASN00086282","2022-01-22","0.0","25.0","33.3","15.5","27.5","14.8"
"ASN00086282","2022-01-23","0.0","25.9","34.1","15.8","20.4","9.7"
"ASN00086282","2022-01-24","0.0","26.2","35.1","17.5","22.0","9.3"
"ASN00086282","2022-01-25","0.0","25.1","34.4","17.3","20.5","9.6"
"ASN00086282","2022-01-26","0.0","27.7","37.3","16.6","16.5","10.6"
"ASN00086282","2022-01-27","12.2","26.8","33.3","19.6","33.2","25.2"
"ASN00086282","2022-01-28","3.6","21.1","34.5","21.1","36.0","20.2"
"ASN00086282","2022-01-29","22.0","19.2","21.6","16.9","19.8","15.1"
"ASN00086282","2022-01-30","0.2","23.0","28.7","17.5","12.4","7.1"
"ASN00086282","2022-01-31","0.0","26.7","35.2","19.2","20.5","9.4"
"ASN00086282","2022-02-01","0.0","17.6","25.4","19.2","31.3","18.4"
"ASN00086282","2022-02-02","0.0","14.2","19.3","12.4","26.9","21.0"
"ASN00086282","2022-02-03","0.2","15.0","18.7","10.1","32.4","21.9"
"ASN00086282","2022-02-04","0.0","17.8","23.6","9.7","23.9","14.8"
"ASN00086282","2022-02-05","0.0","19.7","26.3","11.5","14.0","8.4"
"ASN00086282","2022-02-06","0.0","20.6","27.9","12.5","15.5","8.2"
"ASN00086282","2022-02-07","0.0","21.1","28.4","12.4","18.1","8.9"
"ASN00086282","2022-02-08","0.0","24.1","31.1","12.2","23.0","11.4"
"ASN00086282","2022-02-09","0.0","20.4","32.0","17.2","24.9","16.0"
"ASN00086282","2022-02-10","2.2","18.2","24.0","15.0","24.6","15.4"
"ASN00086282","2022-02-11","0.0","17.3","22.3","14.0","27.0","19.6"
"ASN00086282","2022-02-12","0.0","21.7","28.8","12.4","21.1","8.0"
"ASN00086282","2022-02-13","0.0","24.6","33.3","14.3","40.4","23.9"
"ASN00086282","2022-02-14","0.0","22.4","34.6","14.5","24.2","12.7"
"ASN00086282","2022-02-15","0.0","18.3","24.9","17.3","16.3","11.1"
"ASN00086282","2022-02-16","0.0","20.2","27.7","14.0","13.0","6.9"
"ASN00086282","2022-02-17","0.0","18.0","24.1","15.7","18.7","13.6"
"ASN00086282","2022-02-18","0.0","17.1","22.3","12.1","26.3","18.9"
"ASN00086282","2022-02-19","0.0","16.7","24.4","13.4","17.1","10.5"
"ASN00086282","2022-02-20","0.0","18.4","29.5","10.9","22.9","10.7"
"ASN00086282","2022-02-21","2.2","15.9","20.8","10.6","21.4","16.7"
"ASN00086282","2022-02-22","0.0","17.6","24.9","10.5","15.8","10.2"
"ASN00086282","2022-02-23","0.0","24.1","33.2","11.9","24.7","12.9"
"ASN00086282","2022-02-24","0.2","19.3","23.9","17.2","17.7","12.1"
"ASN00086282","2022-02-25","0.0","18.6","23.7","16.6","21.4","15.3"
"ASN00086282","2022-02-26","0.0","21.1","29.3","15.1","18.7","10.1"
"ASN00086282","2022-02-27","0.0","21.0","26.8","14.9","16.4","9.0"
"ASN00086282","2022-02-28","0.0","20.4","25.8","17.6","13.8","9.9"
"ASN00086282","2022-03-01","0.6","21.3","25.9","18.1","13.0","7.7"
"ASN00086282","2022-03-02","7.6","21.8","29.4","18.7","11.4","5.1"
"ASN00086282","2022-03-03","0.0","23.2","30.6","15.2","14.4","6.7"
"ASN00086282","2022-03-04","0.0","23.6","32.8","15.5","22.3","11.7"
"ASN00086282","2022-03-05","37.6","17.7","21.8","16.4","26.4","17.6"
"ASN00086282","2022-03-06","10.2","16.6","20.8","14.8","26.3","22.1"
"ASN00086282","2022-03-07","1.8","18.2","24.0","12.8","23.4","15.4"
"ASN00086282","2022-03-08","7.0","16.8","20.5","14.3","32.5","24.4"
"ASN00086282","2022-03-09","0.0","15.8","21.4","13.3","31.3","21.8"
"ASN00086282","2022-03-10","0.0","15.9","20.8","11.3","22.0","13.3"
"ASN00086282","2022-03-11","0.0","14.2","20.7","10.7","14.8","8.5"
"ASN00086282","2022-03-12","0.0","16.9","22.4","8.8","16.0","8.1"
"ASN00086282","2022-03-13","0.0","22.0","29.1","12.5","27.2","14.5"
"ASN00086282","2022-03-14","0.0","21.9","28.6","14.5","15.6","7.8"
"ASN00086282","2022-03-15","0.0","20.7","26.0","16.3","21.0","9.3"
"ASN00086282","2022-03-16","0.2","19.4","23.4","16.6","27.2","17.3"
"ASN00086282","2022-03-17","0.0","21.8","30.5","16.2","20.5","13.6"
"ASN00086282","2022-03-18","0.2","16.6","21.7","18.0","22.3","14.6"
"ASN00086282","2022-03-19","0.2","21.9","30.4","11.8","16.9","9.5"
"ASN00086282","2022-03-20","0.0","20.1","27.5","14.8","22.3","8.0"
"ASN00086282","2022-03-21","0.0","21.4","30.4","16.9","19.5","8.3"
"ASN00086282","2022-03-22","0.0","15.9","22.4","16.4","17.1","9.6"
"ASN00086282","2022-03-23","1.6","14.5","19.7","10.4","23.7","14.8"
"ASN00086282","2022-03-24","0.0","16.2","20.5","10.0","17.6","10.1"
"ASN00086282","2022-03-25","0.0","15.2","20.8","12.2","17.2","10.1"
"ASN00086282","2022-03-26","0.0","17.2","24.6","9.7","12.7","7.3"
